datetime,station,temperature,precipitation,sky_cover,weather,wind_dir,wind_speed
2019-01-01T00:00:00Z,114060,5.6,0.00,,,360.0,2.5
2019-01-01T01:00:00Z,114060,5.0,0.00,,,220.0,4.4
2019-01-01T02:00:00Z,114060,4.4,0.00,,,360.0,1.2
2019-01-01T03:00:00Z,114060,5.0,0.00,,,360.0,2.5
2019-01-01T04:00:00Z,114060,5.0,0.00,,,210.0,4.4
2019-01-01T05:00:00Z,114060,5.0,0.00,,,220.0,2.5
2019-01-01T06:00:00Z,114060,5.0,0.00,Z,,240.0,5.6
2019-01-01T07:00:00Z,114060,5.0,0.00,Z,D,240.0,4.4
2019-01-01T08:00:00Z,114060,5.6,0.00,Z,D,250.0,5.6
2019-01-01T09:00:00Z,114060,5.6,0.00,Z,D,260.0,4.4
2019-01-01T10:00:00Z,114060,5.6,0.00,Z,,260.0,5.6
2019-01-01T11:00:00Z,114060,5.6,0.00,Z,,260.0,6.9
2019-01-01T12:00:00Z,114060,5.6,0.00,Z,,270.0,6.9
2019-01-01T13:00:00Z,114060,5.6,0.00,O,,260.0,6.9
2019-01-01T14:00:00Z,114060,5.0,0.25,Z,D,260.0,6.9
2019-01-01T15:00:00Z,114060,5.0,0.00,Z,D,260.0,5.6
2019-01-01T16:00:00Z,114060,4.4,0.00,,,260.0,6.9
2019-01-01T17:00:00Z,114060,4.4,0.25,,,260.0,5.6
2019-01-01T18:00:00Z,114060,3.9,0.25,O,DP,280.0,6.9
2019-01-01T19:00:00Z,114060,3.3,0.00,O,DP,290.0,5.6
2019-01-01T20:00:00Z,114060,1.1,0.76,O,DSP,300.0,12.5
2019-01-01T21:00:00Z,114060,1.7,0.00,,,300.0,5.6
2019-01-01T22:00:00Z,114060,1.7,0.00,,,290.0,5.6
2019-01-01T23:00:00Z,114060,1.1,0.00,,,300.0,5.6
2019-01-02T00:00:00Z,114060,0.0,0.00,,,270.0,5.6
2019-01-02T01:00:00Z,114060,0.0,0.25,,,300.0,8.1
2019-01-02T02:00:00Z,114060,0.0,0.00,,,300.0,6.9
2019-01-02T03:00:00Z,114060,0.0,0.25,,,290.0,8.1
2019-01-02T04:00:00Z,114060,0.0,0.25,,,300.0,8.1
2019-01-02T05:00:00Z,114060,0.6,0.25,,,300.0,6.9
2019-01-02T06:00:00Z,114060,1.1,0.00,O,S,310.0,8.1
2019-01-02T07:00:00Z,114060,0.6,0.00,O,,310.0,8.1
2019-01-02T08:00:00Z,114060,0.6,0.00,O,DS,300.0,6.9
2019-01-02T09:00:00Z,114060,0.6,0.00,O,,300.0,5.6
2019-01-02T10:00:00Z,114060,1.1,0.00,O,DS,300.0,10.0
2019-01-02T11:00:00Z,114060,0.6,0.51,O,DS,320.0,8.1
